Pass;SummitElevation;Lat;Lng
"Col du Fau";"899";"44.905914";"5.626197"
"Col du Furfande";"2500";"44.73516";"6.710854"
"Col du Galibier";"2642";"45.06414";"6.407862"
"Col du Gerbier de Jong";"1417";"44.84114";"4.22243"
"Col du Glandon";"1924";"45.239606";"6.175535"
"Col du Goulet";"1452";"44.535854";"3.752582"
"Col du Grand Ballon";"1343";"47.90472";"7.10336"
"Col du Grand Colombier";"1501";"45.903459";"5.761663"
"Col du Granier";"1134";"45.480382";"5.914917"
"Col du Granon";"2413";"44.962784";"6.610906"
"Col du Hantz";"637";"48.40273";"7.08901"
"Col du Haut de la Côte";"953";"48.05106";"6.86539"
"Col du Hundsruck";"748";"47.806301";"7.042468"
"Col du Joly";"1990";"45.783917";"6.674014"
"Col du Labouret";"1249";"44.24921";"6.37057"
"Col du Lautaret";"2058";"45.035231";"6.405122"
"Col du Minier";"1264";"44.054031";"3.547512"
"Col du Mollard";"1638";"45.210483";"6.337143"
"Col du Mont Cenis";"2083";"45.260297";"6.900218"
"Col du Montgenèvre";"1854";"44.931297";"6.7257274"
"Col du Montivernoux";"1320";"44.80849";"4.29957"
"Col du Noyer";"1664";"44.692549";"5.984298"
"Col du Négron";"1242";"44.16691";"5.55836"
"Col du Parpaillon";"2632";"44.488235";"6.644365"
"Col du Pertus";"1309";"45.058072";"2.673668"
"Col du Petit St. Bernard";"2188";"45.6793";"6.88306"
"Col du Platzerwasel";"1193";"47.969482";"7.042891"
"Col du Portillon";"1293";"42.7691";"0.660098"
"Col du Pourtalet";"1794";"42.805909";"-0.418468"
"Col du Savel";"980";"43.885131";"7.327382"
"Col du Solude";"1680";"45.03618";"6.01985"
"Col du Somport";"1632";"42.7957";"-0.52625"
"Col du Soulor";"1474";"42.960626";"-0.261243"
"Col du Tourmalet";"2115";"42.908392";"0.145282"
"Col du Télégraphe";"1566";"45.2027";"6.444614"
"Col du Wettstein";"882";"48.087875";"7.116011"
"Col d’Agnel";"2744";"44.683919";"6.979574"
"Col d’Agnes";"1570";"42.794058";"1.373972"
"Col d’Albanne";"1652";"45.21183";"6.422"
"Col d’Allos";"2250";"44.29735";"6.59421"
"Col d’Aphanize";"1044";"43.102481";"-1.062064"
"Col d’Ares";"1513";"42.366988";"2.456301"
"Col d’Aspin";"1489";"42.942356";"0.327338"
"Col d’Aubisque";"1709";"42.976575";"-0.339792"
"Col d’Espréaux";"1160";"44.47323";"5.888264"
"Col d’Hourataté";"1009";"43.005055";"-0.658579"
"Col d’Ichère";"674";"43.041584";"-0.636518"
"Col d’Ispeguy";"672";"43.175691";"-1.402043"
"Col d’Izoard";"2356";"44.820027";"6.735041"
"Col d’Ornon";"1367";"45.008279";"5.967442"
"Col Ibarburua";"966";"43.094715";"-1.014625"
"Col Inharpu";"1029";"43.094664";"-1.029596"
"Col Landoz-Neuve";"1260";"46.680345";"6.268998"
"Col Prat de Bouc";"1392";"45.052626";"2.79387"
"Col Saint-Martin";"1500";"44.070955";"7.221369"
"Col Saint-Nicolas";"318";"42.969691";"9.390457"
"Col Saint-Roch";"991";"43.895966";"7.339033"
"Col Xatard";"752";"42.553207";"2.615089"
"Collet du Linge";"987";"48.083423";"7.139743"
"Cormet de Roselend";"1968";"45.691329";"6.6906249"
"Cormet d’Arêches";"2108";"45.617263";"6.603144"
"Crete de la Madone";"1180";"43.90888";"7.22449"
"Croix de Bauzon";"1308";"44.635111";"4.097329"
"Gorges de la Blanche";"700";"44.45117";"6.24034"
"Gorges de la Nesque";"570";"44.066188";"5.308757"
"Gorges de l’Ardèche";"340";"44.322217";"4.548128"
"Gorges de Nouailles";"550";"47.02477";"6.29224"
"Gorges du Nan";"700";"45.16234";"5.43172"
"Haut-Asco";"1410";"42.403254";"8.923248"
"Hourquette d'Ancizan";"1564";"42.900439";"0.305953"
"Illarata-Pass";"991";"41.704639";"9.211381"
"Lac de Cap de Long";"2161";"42.81947";"0.14134"
"Larone-Pass";"608";"41.831922";"9.275906"
"Le Saut du Chien";"708";"46.35688";"5.90234"
"Leschaux-Pass";"897";"45.771404";"6.131152"
"Meraillet-Pass";"1605";"45.6949";"6.633641"
"Mont Aigoual";"1576";"44.121003";"3.581575"
"Pas de Bouches";"1298";"44.96881";"5.45941"
"Pas de la Confession";"1542";"45.080277";"6.041758"
"Pas de l’Abauc";"1330";"43.760216";"6.37001"
"Pas de l’Escous";"1008";"43.90588";"7.36182"
"Pas de Morgins";"1369";"46.249697";"6.845834"
"Pas de Peyrol";"1589";"45.114096";"2.671746"
"Pendu";"1435";"44.650215";"4.04254"
"Plainpalais-Pass";"1173";"45.647511";"6.019053"
"Port de Balès";"1755";"42.874174";"0.500629"
"Port de Larrau";"1573";"42.974168";"-0.993607"
"Port de Lers";"1517";"42.806423";"1.411598"
"Refuge pré de Madame Carle";"1860";"44.91756";"6.4161"
"Route de la Roche d’Auris";"1500";"45.04772";"6.06365"
"Route des Millefonts";"2036";"44.098411";"7.186448"
"Routes des Crêtes";"1343";"48.063778";"7.022542"
"Saint-Michel-Pass";"1431";"44.04732";"6.59404"
"Source du Lison";"420";"46.96725";"6.01062"
"Superbagnères";"1800";"42.768124";"0.576267"
"Tunnel du Galibier";"2556";"45.06427";"6.40759"
"Tunnel du Mont-Blanc";"1274";"45.84626";"6.921902"
"Vallée de la Restonica";"1375";"42.22876";"9.030579"
